Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
0,Standard Class,Consumer,Office Supplies,408.3,2,0.0,106.14,35.46,Medium
1,Standard Class,Consumer,Office Supplies,120.366,3,0.1,36.036,9.72,Medium
2,Second Class,Consumer,Office Supplies,66.12,4,0.0,29.64,8.17,High
3,Second Class,Home Office,Office Supplies,44.865,3,0.5,-26.055,4.82,High
4,Standard Class,Consumer,Furniture,113.67,5,0.1,37.77,4.7,Medium
5,Standard Class,Consumer,Office Supplies,55.242,2,0.1,15.342,1.8,Medium
6,Second Class,Consumer,Technology,285.78,2,0.0,71.4,57.3,Critical
7,First Class,Consumer,Furniture,290.666,2,0.15,3.4196,54.64,High
8,Second Class,Corporate,Office Supplies,206.4,1,0.0,92.88,53.08,Critical
9,Second Class,Corporate,Office Supplies,162.72,3,0.0,68.31,44.36,Critical
10,Second Class,Corporate,Office Supplies,352.35,5,0.0,137.4,33.15,Medium
11,Standard Class,Corporate,Office Supplies,400.704,2,0.4,20.024,21.38,Medium
12,Standard Class,Consumer,Furniture,309.6,6,0.0,148.5,19.65,High
13,Second Class,Corporate,Office Supplies,139.65,5,0.0,15.3,19.23,High
14,Second Class,Consumer,Office Supplies,40.68,3,0.0,11.79,11.13,Critical
15,Standard Class,Corporate,Technology,81.984,2,0.4,-19.136,6.21,Medium
16,Standard Class,Consumer,Office Supplies,78.3,3,0.0,20.34,6.03,Medium
17,Second Class,Consumer,Office Supplies,22.65,5,0.0,9.6,5.29,Critical
18,Second Class,Consumer,Office Supplies,20.34,3,0.0,9.9,3.78,Critical
19,Second Class,Corporate,Office Supplies,21.39,1,0.0,0.0,3.34,High
20,Standard Class,Consumer,Office Supplies,21.06,3,0.0,10.53,1.86,Medium
21,Standard Class,Consumer,Office Supplies,11.82,2,0.0,4.2,0.93,Medium
22,Standard Class,Corporate,Office Supplies,9.576,6,0.4,-0.984,0.81,Medium
23,First Class,Consumer,Office Supplies,551.16,4,0.0,71.64,164.36,High
24,Standard Class,Corporate,Furniture,1314.45,3,0.0,341.73,150.4,High
25,Standard Class,Consumer,Technology,1470.78,6,0.0,264.6,146.55,Medium
26,Standard Class,Consumer,Office Supplies,364.416,8,0.2,45.456,80.67,High
27,Standard Class,Home Office,Furniture,634.116,6,0.3,-172.1172,70.05,High
28,First Class,Consumer,Furniture,246.48,4,0.0,105.96,65.81,High
29,Standard Class,Corporate,Furniture,704.55,5,0.0,288.75,64.4,High
30,Standard Class,Consumer,Office Supplies,1244.16,6,0.0,211.5,60.78,Medium
31,First Class,Consumer,Technology,214.758,2,0.1,7.158,55.67,High
32,Second Class,Consumer,Furniture,457.568,2,0.2,51.4764,47.89,Medium
33,Standard Class,Consumer,Technology,587.7,2,0.0,123.36,42.88,Medium
34,Standard Class,Consumer,Furniture,376.509,3,0.3,-43.0296,32.7,Medium
35,Standard Class,Corporate,Office Supplies,194.64,4,0.0,34.92,25.39,High
36,Standard Class,Consumer,Furniture,362.25,6,0.3,0.0,25.22,Medium
37,Same Day,Home Office,Furniture,162.84,2,0.0,76.5,24.42,Medium
38,Same Day,Home Office,Office Supplies,115.74,2,0.0,30.06,19.52,Medium
39,First Class,Consumer,Technology,493.2,4,0.0,123.24,18.19,High
40,Standard Class,Consumer,Office Supplies,106.8,4,0.0,29.88,16.48,Low
41,Standard Class,Consumer,Technology,266.25,1,0.0,79.86,16.22,Medium
42,Standard Class,Corporate,Furniture,351.75,7,0.0,59.64,15.91,Medium
43,Standard Class,Consumer,Furniture,238.929,2,0.27,62.169,15.01,Medium
44,Standard Class,Consumer,Office Supplies,109.1853,9,0.47,-74.4147,14.58,Medium
45,Standard Class,Corporate,Technology,151.362,2,0.1,-5.058,14.22,Medium
46,Standard Class,Consumer,Technology,91.872,1,0.4,-45.948,13.96,High
47,Standard Class,Consumer,Furniture,196.74,1,0.0,86.55,12.33,Medium
48,Standard Class,Consumer,Office Supplies,117.504,3,0.2,36.684,11.43,High
49,Standard Class,Consumer,Office Supplies,137.352,3,0.2,8.5845,8.49,Medium
50,Same Day,Home Office,Office Supplies,98.94,2,0.0,15.78,8.42,Medium
51,Standard Class,Consumer,Office Supplies,63.36,3,0.2,23.76,8.22,High
52,Standard Class,Consumer,Office Supplies,129.552,3,0.2,-22.6716,8.0,Medium
53,Standard Class,Consumer,Furniture,63.552,6,0.6,-34.9536,7.38,Medium
54,Standard Class,Consumer,Technology,221.16,2,0.0,15.48,6.87,Medium
55,First Class,Consumer,Office Supplies,30.48,1,0.0,2.73,6.7,High
56,Second Class,Home Office,Technology,46.53,1,0.0,12.54,6.09,Medium
57,First Class,Consumer,Office Supplies,24.354,1,0.1,8.904,5.44,High
58,Standard Class,Consumer,Office Supplies,23.868,3,0.4,-7.632,3.9,High
59,Standard Class,Consumer,Office Supplies,61.74,6,0.0,17.82,3.73,Medium
60,Standard Class,Corporate,Office Supplies,37.08,3,0.0,10.35,3.55,High
61,Second Class,Home Office,Office Supplies,146.52,12,0.0,0.0,3.35,Medium
62,Second Class,Home Office,Office Supplies,102.438,2,0.1,35.238,3.3,Medium
63,First Class,Consumer,Office Supplies,12.36,1,0.0,2.46,3.1,High
64,First Class,Consumer,Office Supplies,11.76,1,0.0,5.64,2.24,High
65,Standard Class,Consumer,Furniture,48.45,1,0.0,12.09,2.21,Medium
66,Standard Class,Consumer,Office Supplies,18.84,5,0.2,-3.5325,2.05,Medium
67,Standard Class,Home Office,Office Supplies,17.472,3,0.2,5.6784,1.94,High
68,Same Day,Home Office,Office Supplies,13.32,2,0.0,5.46,1.94,Medium
69,Standard Class,Consumer,Office Supplies,16.53,1,0.0,7.41,1.14,Medium
70,First Class,Consumer,Office Supplies,12.636,2,0.1,-1.164,1.05,High
71,Standard Class,Consumer,Office Supplies,21.546,6,0.1,4.266,1.02,Medium
72,Standard Class,Consumer,Office Supplies,17.82,2,0.0,3.18,0.97,Medium
73,Standard Class,Consumer,Office Supplies,31.14,2,0.0,14.28,0.81,Medium
74,Standard Class,Corporate,Office Supplies,25.317,1,0.7,-28.713,0.79,Medium
75,Standard Class,Home Office,Technology,5.94,3,0.0,1.6038,0.42,Medium
76,First Class,Corporate,Technology,496.584,6,0.4,-289.836,122.65,High
77,First Class,Consumer,Office Supplies,295.92,6,0.0,32.4,71.22,High
78,Standard Class,Corporate,Furniture,567.6,5,0.2,0.0,49.7,Medium
79,First Class,Consumer,Office Supplies,157.95,3,0.0,69.48,21.83,High
80,Second Class,Corporate,Technology,138.696,2,0.4,-25.464,20.4,Medium
81,Standard Class,Home Office,Office Supplies,83.691,2,0.15,30.471,17.47,High
82,Second Class,Corporate,Office Supplies,85.536,4,0.4,-47.104,11.56,High
83,First Class,Consumer,Technology,123.12,3,0.0,50.4,11.19,High
84,Second Class,Corporate,Technology,80.064,2,0.4,-53.376,7.56,Medium
85,Standard Class,Consumer,Technology,47.56,1,0.0,10.92,6.0,High
86,Second Class,Corporate,Furniture,67.608,3,0.4,-29.352,5.65,Medium
87,Second Class,Corporate,Office Supplies,121.5,5,0.4,-48.6,5.41,Medium
88,Second Class,Corporate,Office Supplies,44.94,5,0.4,0.74,5.41,Medium
89,Second Class,Corporate,Furniture,20.112,2,0.4,-1.688,3.66,Medium
90,Standard Class,Corporate,Office Supplies,43.8,5,0.5,-13.2,3.05,Medium
91,Second Class,Consumer,Office Supplies,29.6,2,0.0,14.8,3.01,Medium
92,Standard Class,Home Office,Office Supplies,25.344,2,0.45,-6.036,2.99,High
93,Standard Class,Consumer,Office Supplies,17.8,5,0.0,0.5,1.96,High
94,Standard Class,Corporate,Office Supplies,66.96,4,0.0,2.6784,1.57,Medium
95,Second Class,Corporate,Office Supplies,10.944,4,0.4,-3.136,1.37,High
96,Standard Class,Consumer,Office Supplies,15.28,2,0.0,1.96,1.2,High
97,Second Class,Consumer,Office Supplies,17.088,4,0.2,5.5536,0.65,Medium
98,Standard Class,Corporate,Office Supplies,6.24,2,0.0,3.0576,0.34,Medium
99,Standard Class,Corporate,Office Supplies,10.08,4,0.5,-9.12,0.32,Medium
